title,company_name,url,remote,first_seen_at,last_seen_at,lang,juniority_score,source,external_ids_0,external_ids_1,external_ids_2,external_ids_3,external_ids_4,external_ids_5,external_ids_6,external_ids_7,external_ids_8,external_ids_9,locations_0_name,locations_1_name,locations_2_name,locations_3_name,locations_4_name,locations_5_name,locations_6_name,locations_7_name,locations_8_name,locations_9_name,locations_10_name,locations_11_name,locations_12_name,locations_13_name,locations_14_name,locations_15_name,locations_16_name,locations_17_name,locations_18_name,locations_19_name,locations_0_region,locations_1_region,locations_2_region,locations_3_region,locations_4_region,locations_5_region,locations_6_region,locations_7_region,locations_8_region,locations_9_region,locations_10_region,locations_11_region,locations_12_region,locations_13_region,locations_14_region,locations_15_region,locations_16_region,locations_17_region,locations_18_region,locations_19_region,employment_types_0,employment_types_1,employment_types_2,employment_types_3,employment_types_4,employment_types_5,employment_types_6,employment_types_7,employment_types_8,employment_types_9
Kodér - HTML/CSS (Junior/Medior),Believer s.r.o.,https://www.startupjobs.cz/nabidka/70047/koder-html-css-junior-medior?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,True,2023-11-10 00:00:00,,cs,,,startupjobs#70047,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,PART_TIME,,,,,,,,,
Junior Typescript Developer,Papirfly,https://www.startupjobs.cz/nabidka/48663/junior-typescript-developer?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-08 00:00:00,,cs,,,startupjobs#48663,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Manual Tester,Legito,https://www.startupjobs.cz/nabidka/69909/junior-manual-tester?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-07 00:00:00,,cs,,,startupjobs#69909,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Grafik / grafička do marketingového týmu,Ecomail.cz,https://www.startupjobs.cz/nabidka/43058/grafik-graficka-do-marketingoveho-tymu?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-07 00:00:00,,cs,,,startupjobs#43058,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
Software Engineer in Test #automatizace,Betsys,https://www.startupjobs.cz/nabidka/69841/software-engineer-in-test-automatizace?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-06 00:00:00,,cs,,,startupjobs#69841,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Implementation Manager,Dateio,https://www.startupjobs.cz/nabidka/69819/junior-implementation-manager?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-05 00:00:00,,cs,,,startupjobs#69819,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Electronic trading specialist,Purple Technology,https://www.startupjobs.cz/nabidka/69699/electronic-trading-specialist?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-02 00:00:00,,cs,,,startupjobs#69699,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior QA Engineer,Gen™,https://cz.linkedin.com/jobs/view/junior-qa-engineer-at-gen%E2%84%A2-3750264180,False,2023-11-02 00:00:00,,en,,,linkedin#3750264180,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,PART_TIME,,,,,,,,,
UX a UI designer digitálních produktů (medior),Bell & Hurry,https://www.startupjobs.cz/nabidka/69673/ux-a-ui-designer-digitalnich-produktu-medior?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-11-01 00:00:00,,cs,,,startupjobs#69673,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Medior Flutter developer,Pixelfield,https://www.startupjobs.cz/nabidka/69615/medior-flutter-developer?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-10-31 00:00:00,,cs,,,startupjobs#69615,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
JUNIOR SOFTWARE DEVELOPMENT ENGINEER (Hybrid),"Tesco Stores CR, a.s.",https://cz.linkedin.com/jobs/view/junior-software-development-engineer-hybrid-at-tesco-czech-republic-3754349312,False,2023-10-31 00:00:00,,en,,,linkedin#3754349312,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Angular/Node.js developer junior,eppTec,https://www.startupjobs.cz/nabidka/69541/angular-node-js-developer-junior?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-10-30 00:00:00,,cs,,,startupjobs#69541,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Backend Developer,DATA-NORMS s.r.o.,https://cz.linkedin.com/jobs/view/backend-developer-at-data-norms-s-r-o-3753754950,False,2023-10-28 00:00:00,,cs,,,linkedin#3753754950,,,,,,,,,,Jindřichův Hradec,,,,,,,,,,,,,,,,,,,,České Budějovice,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Mediorní backend vývojář/ka na full remote pro SmartEmailing,SmartEmailing,https://www.startupjobs.cz/nabidka/69029/mediorni-backend-vyvojar-ka-na-full-remote-pro-smartemailing?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,True,2023-10-17 00:00:00,,cs,,,startupjobs#69029,,,,,,,,,,Praha,Tábor,,,,,,,,,,,,,,,,,,,Praha,České Budějovice,,,,,,,,,,,,,,,,,,,FULL_TIME,PART_TIME,,,,,,,,
Tester,DPV Group s.r.o.,https://cz.linkedin.com/jobs/view/tester-at-dpv-group-s-r-o-3736467982,False,2023-10-07 00:00:00,,cs,,,linkedin#3736467982,,,,,,,,,,Mladá Boleslav,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Python Developer,Qminers,https://cz.linkedin.com/jobs/view/python-developer-at-qminers-3732276921,False,2023-10-04 00:00:00,,cs,,,linkedin#3732276921,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"Junior Frontend Developer – JavaScript, React, SQL",Honeywell,https://cz.linkedin.com/jobs/view/junior-frontend-developer-%E2%80%93-javascript-react-sql-at-honeywell-3697110690,False,2023-10-03 00:00:00,,en,,,linkedin#3697110690,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Product Owner v investiční platformě Portu,Portu,https://www.startupjobs.cz/nabidka/49839/product-owner-v-investicni-platforme-portu?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-09-25 00:00:00,,cs,,,startupjobs#49839,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
"Junior Frontend Developer - Javascript, React, SQL",Honeywell,https://cz.linkedin.com/jobs/view/junior-frontend-developer-javascript-react-sql-at-honeywell-3694266796,False,2023-08-19 00:00:00,,en,,,linkedin#3694266796,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Junior Flutter developer,Pixelfield,https://www.startupjobs.cz/nabidka/66691/junior-flutter-developer?utm_source=juniorguru&utm_medium=cpc&utm_campaign=juniorguru,False,2023-08-11 00:00:00,,cs,,,startupjobs#66691,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,Praha,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
Stáž v Red Hatu,Red Hat,https://junior.guru/jobs/ade40e530211c36a309fa370d270da7650ad18462c03c95b0b38de57/,False,2020-09-04 00:00:00,,cs,,,juniorguru#ade40e530211c36a309fa370d270da7650ad18462c03c95b0b38de57,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,PAID_INTERNSHIP,,,,,,,,,
Chceš se stát engineerkou/engineerem v Red Hatu?,Red Hat,https://junior.guru/jobs/aac817ee027512f150caf872e149e12ef9246815b1ecf880501b877d/,False,2020-08-31 00:00:00,,cs,,,juniorguru#aac817ee027512f150caf872e149e12ef9246815b1ecf880501b877d,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,Brno,,,,,,,,,,,,,,,,,,,,FULL_TIME,,,,,,,,,
